Name,District,State,Address,Contact Number,Contact number 2,Location:latitude ,Location: longitude
Dispur Police Station,Kamrup Metropolitan,Assam,"Dispur police station, Infront of, Gopal Bodo Higher Secondary School, Dr RP Rd, Ganeshguri, Guwahati, Assam 781006",9435027424,,26.1475119342436,91.7857780194708
Panbazar Police Station,Kamrup Metropolitan,Assam,"5PMR+W9P, Pan Bazaar, Guwahati, Assam 781001",3612540106,9435208307,26.1848412605480,91.7409387970270
Bharalumukh Police Station,Kamrup Metropolitan,Assam,"535, Assam Trunk Rd, Devagiri, Near State Bank Of India, Assam Trunk Rd, Devagiri, Near State Bank Of India, Bharalumukh, Guwahati, Assam 781009",9435203047,,26.1732220140292,91.7298320876756
Basistha Police Station,Kamrup Metropolitan,Assam,"4Q6V+WX6, Basistha Rd, Charali, Kundil Nagar, Guwahati, Assam 781029",3612302158,9435089137,26.1122983627856,91.7950406962232
Hatigaon Police Station,Kamrup Metropolitan,Assam,"4QGP+JPF, Hatigaon - Beltola Sanjogi Path, Hatigaon, Guwahati, Assam 781038",3612450555,9435123487,26.1265745318966,91.7867925738142
Khetri Police Station,Kamrup Metropolitan,Assam,"NH 37, Aujuri No 3, Sonapur, Kamrup Metropolitan District, Assam, 782403",9101924780,9435401343,26.1141740419545,92.0819880824143
Bhangagarh Police Station,Kamrup Metropolitan,Assam,"5Q59+WW7 G.M.C.H. Complex, Bhangagarh, Guwahati, Assam 781032",3612461756,7002310658,26.1605292714606,91.7679200529974
Chandmari Police Station,Kamrup Metropolitan,Assam,"6C, Maniram Dewan Rd, Chandmari Colony, Nizarpar, Krishna Nagar, Chandmari, Guwahati, Assam 781003",8133005500,,26.1850733187080,91.7710241722677
Noonmati Police Station,Kamrup Metropolitan,Assam,"5RM3+G6Q Shiv Mandir, Maniram Dewan Rd, Sector 2, Jayanta Nagar, Noonmati, Guwahati, Assam 781020",3612550281,7575975381,26.1838474753636,91.8030844157414
Geetanagar Police Station,Kamrup Metropolitan,Assam,"5QFJ+39F, Mother Teresa Rd, Zoo Rd, Geeta Nagar, Narengi Tinali, Guwahati, Assam 781024",3612417323,9435108324,26.1727170988631,91.7809295793579
Paltan Bazar Police Station,Kamrup Metropolitan,Assam,"5QJ2+FC2, Assam Trunk Rd, Paltan Bazaar, Guwahati, Assam 781008",3612540126,7002530174,26.1811628494740,91.7510297487294
Latasil Police Station,Kamrup Metropolitan,Assam,"F Bora Road, Digholi Pukhuri, Guwahati, Assam, 781001",3612540136,9435121113,26.1899936713353,91.7522188989289
Jalukbari Police Station,Kamrup Metropolitan,Assam,"5M5W+RCX, Maligaon Chariali, Maligaon, Guwahati, Assam 781012",3612570522,9435152338,26.1596374067427,91.6961122597696
Fatasil Ambari Police Station,Kamrup Metropolitan,Assam,"5P5Q+VR9 Sri Laxmi Narayan Mandir, Fayal Ahmed Rd, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018",3612471412,9435010746,26.1596760531336,91.7395979390536
