name,address,phone,website,plus_code,lat,lon,result_index,area,city,location_type,source_file,formatted_address,vicinity,place_id,rating,user_ratings_total,types,osm_display_name,osm_place_id,photon_source
The Tirumala Dhaba,"M. E. Road, Paltan Bazaar, Guwahati, Assam 781008",098640 57715,,"5QH2+PW Guwahati, Assam",26.1787977,91.7433116,3,Pan Bazaar,guwahati,dhaba,results_Dhaba_Pan_Bazaar_Guwahati.json,,,,,,,"A T Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224379175.0,
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,2,Bordowa,nagaon,airports,results_airports_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,"P.O.- Haleswar, Tezpur, Assam 784104",03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,2,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Rupsi Airport,"Sukatikhata, Assam 783331",084862 03009,,"4WQ5+58 Sukatikhata, Assam",26.18177245,91.6689672212636,5,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Shillong Airport,"Nongrah Umroi, Meghalaya 793116",,aai.aero,"PX3H+X4 Nongrah Umroi, Meghalaya",25.723641,92.0426338690288,6,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,7,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222950748.0,
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,1,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222950748.0,
"Dudhpatil, Dalu,Silchar,Airport Road","RQQR+HRM, Tarapur, Silchar, Assam 788003",,,RQQR+HRM,24.819358,92.795703,3,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,,,photon.komoot.io
Doloo Lake,"Dalu Grant, Assam 788111",,,,24.923232,92.782899,4,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,3,Duliajan,dibrugarh,airports,results_airports_Duliajan_Dibrugarh.json,,,,,,,,,photon.komoot.io
Silchar Airport,"Kumbhirgram, Assam 788109",03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,1,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",223140140.0,
Gandhibagh Park,"RQGX+V7Q, Gandhi Bagh, Tarapur, Silchar, Assam 788001",,,RQGX+V7Q,24.8270921,92.798397,3,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
"Dudhpatil, Dalu,Silchar,Airport Road","RQQR+HRM, Tarapur, Silchar, Assam 788003",,,RQQR+HRM,24.819358,92.795703,4,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
Gandhi Mela Park,"RQJV+4CR, Tarapur, Silchar, Assam 788001",,,RQJV+4CR,24.8283093,92.7873196,7,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
Lokpriya Gopinath Bordoloi International Airport,"Borjhar, Guwahati, Assam 781015",,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,1,Haibargaon,nagaon,airports,results_airports_Haibargaon_Nagaon.json,,,,,,,,,photon.komoot.io
