name,address,phone,website,plus_code,lat,lon,result_index,area,city,location_type,source_file,formatted_address,vicinity,place_id,rating,user_ratings_total,types,osm_display_name,osm_place_id,photon_source
The Tirumala Dhaba,,098640 57715,,"5QH2+PW Guwahati, Assam",26.1787977,91.7433116,3,Pan Bazaar,guwahati,dhaba,results_Dhaba_Pan_Bazaar_Guwahati.json,,,,,,,"A T Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224379175.0,
Lokpriya Gopinath Bordoloi International Airport,,,adani.com,"4H4P+HC Guwahati, Assam",26.1805978,91.753943,2,Bordowa,nagaon,airports,results_airports_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
Tezpur Airport,,03712 258 441,,"MQX9+GF Tezpur, Assam",26.7201275,92.7664237,2,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Rupsi Airport,,084862 03009,,"4WQ5+58 Sukatikhata, Assam",26.18177245,91.6689672212636,5,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Shillong Airport,,,aai.aero,"PX3H+X4 Nongrah Umroi, Meghalaya",25.723641,92.0426338690288,6,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,,photon.komoot.io
Silchar Airport,,03841 282 293,,"WX7H+7M Kumbhirgram, Assam",24.9069316,92.9816294,7,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222950748.0,
"Dudhpatil, Dalu,Silchar,Airport Road",,,,RQQR+HRM,24.819358,92.795703,3,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,,,photon.komoot.io
Doloo Lake,,,,,24.923232,92.782899,4,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,,,photon.komoot.io
Gandhibagh Park,,,,RQGX+V7Q,24.8270921,92.798397,3,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
Gandhi Mela Park,,,,RQJV+4CR,24.8283093,92.7873196,7,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,,photon.komoot.io
Jorhat Airport,,094354 78990,aai.aero,"P5MM+VV Jorhat, Assam",26.7274088,94.1860779,8,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,"Airport Road, Rowriah/ jail Road Area, Rowriya, Jorhat West, Jorhat, Assam, 785004, India",221743473.0,
ASTC Airport Service,,1800 345 3986,astc.assam.gov.in,"5QJ2+F4 Guwahati, Assam",26.1794742,91.7525068,3,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
Ropeway Terminal,,1800 345 3986,,"6P4R+5M Guwahati, Assam",26.19247875,91.69463568731132,4,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
ASTC Bus Stand,,060002 39482,,"5QJ2+F2 Guwahati, Assam",26.1811683,91.7499743,6,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
ASTC Paltan Bazar,,,,"5PJX+9X Guwahati, Assam",26.1808421,91.7495654,8,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,,photon.komoot.io
Baniland Ecological Amusement Park,,,,"R8GV+MQ Chandpur, Assam",24.9932153,92.5063419,6,parks Ambicapatty,silchar,amusement,results_amusement_parks_Ambicapatty_Silchar.json,,,,,,,,,photon.komoot.io
"Batadrava Than, Nagaon",,076368 06224,bordowathan.org,"CG7R+H8 Bordua, Assam",27.392937,95.3241361,6,parks Bordowa,nagaon,amusement,results_amusement_parks_Bordowa_Nagaon.json,,,,,,,,,photon.komoot.io
River Side Park,,0361 254 7102,,"5PMP+6W Guwahati, Assam",26.1799322,91.7362163,6,parks Chandmari,guwahati,amusement,results_amusement_parks_Chandmari_Guwahati.json,,,,,,,"Fancy Bazaar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224199293.0,
Nehru Park,,,gmda.assam.gov.in,"5PQX+C2 Guwahati, Assam",26.1872842,91.7466963,5,parks Pan Bazaar,guwahati,amusement,results_amusement_parks_Pan_Bazaar_Guwahati.json,,,,,,,"Cotton University, Ananda Ram Baruah Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",224394003.0,
Dighalipukhuri Park,,,,"5QP2+9G Guwahati, Assam",26.1858579,91.7505141,4,parks Uzan Bazaar,guwahati,amusement,results_amusement_parks_Uzan_Bazaar_Guwahati.json,,,,,,,"Dighalipukhuri Road, Pan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781015, India",222418835.0,
Tumble Town,,060021 13672,,"5QFC+MW Guwahati, Assam",26.1767638,91.7734819,3,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,"Rajgarh Road, Zoo Rd Tiniali, Dispur, Kamrup Metropolitan, Assam, 781003, India",224672942.0,
,,070026 17606,,"4P6P+GR Guwahati, Assam",26.1805978,91.753943,5,parks Zoo Road,guwahati,amusement,results_amusement_parks_Zoo_Road_Guwahati.json,,,,,,,,,photon.komoot.io
Paras Aquarium,,094350 45312,,"4RM4+2H Guwahati, Assam",26.1407074,91.8113148,3,Beltola,guwahati,aquarium,results_aquarium_Beltola_Guwahati.json,,,,,,,"Zero Gear, Chachal, Six Mile, Oppt' H.P. Petrol Pump, VIP Road, Jaya Nagar, Six Mile, Guwahati, Dispur, Kamrup Metropolitan, Assam, 781022, India",224493166.0,
