name,address,phone,website,plus_code,photon_source,lat,lon,result_index,area,city,location_type,source_file,formatted_address,vicinity,place_id,rating,user_ratings_total,types,osm_display_name,osm_place_id
Lokpriya Gopinath Bordoloi International Airport,,,adani.com,"4H4P+HC Guwahati, Assam",photon.komoot.io,26.1805978,91.753943,1,Beltola,guwahati,airports,results_airports_Beltola_Guwahati.json,,,,,,,,
"Helipad H1, Veterinary Khanapar plaground",,,,4RC9+45J,photon.komoot.io,26.11700765,91.81546080878026,3,Beltola,guwahati,airports,results_airports_Beltola_Guwahati.json,,,,,,,,
Tezpur Airport,,03712 258 441,,"MQX9+GF Tezpur, Assam",photon.komoot.io,26.7201275,92.7664237,4,Beltola,guwahati,airports,results_airports_Beltola_Guwahati.json,,,,,,,,
Ropeway Terminal,,1800 345 3986,,"6P4R+5M Guwahati, Assam",photon.komoot.io,26.19247875,91.69463568731132,5,Beltola,guwahati,airports,results_airports_Beltola_Guwahati.json,,,,,,,,
ASTC Airport Service,,1800 345 3986,astc.assam.gov.in,"5QJ2+F4 Guwahati, Assam",photon.komoot.io,26.1794742,91.7525068,6,Beltola,guwahati,airports,results_airports_Beltola_Guwahati.json,,,,,,,,
Shillong Airport,,,aai.aero,"PX3H+X4 Nongrah Umroi, Meghalaya",photon.komoot.io,25.723641,92.0426338690288,7,Beltola,guwahati,airports,results_airports_Beltola_Guwahati.json,,,,,,,,
Rupsi Airport,,084862 03009,,"4WQ5+58 Sukatikhata, Assam",photon.komoot.io,26.18177245,91.6689672212636,5,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,,
Silchar Airport,,03841 282 293,,"WX7H+7M Kumbhirgram, Assam",,24.9069316,92.9816294,7,Dhing,nagaon,airports,results_airports_Dhing_Nagaon.json,,,,,,,"Kumbhirgram, Udarbond, Cachar, Assam, 788108, India",222950748.0
"Dudhpatil, Dalu,Silchar,Airport Road",,,,RQQR+HRM,photon.komoot.io,24.819358,92.795703,3,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,,
Doloo Lake,,,,,photon.komoot.io,24.923232,92.782899,4,Dolu Lake surroundings,silchar,airports,results_airports_Dolu_Lake_surroundings_Silchar.json,,,,,,,,
Gandhibagh Park,,,,RQGX+V7Q,photon.komoot.io,24.8270921,92.798397,3,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,
Gandhi Mela Park,,,,RQJV+4CR,photon.komoot.io,24.8283093,92.7873196,7,Gandhibag Park area,silchar,airports,results_airports_Gandhibag_Park_area_Silchar.json,,,,,,,,
HELIPAD GATE,,,,4RC9+79F,photon.komoot.io,26.11700765,91.81546080878026,6,Hatigaon,guwahati,airports,results_airports_Hatigaon_Guwahati.json,,,,,,,,
RAHi,,,,"5Q97+8J Guwahati, Assam",photon.komoot.io,26.1694317,91.7638691,8,Kahilipara,guwahati,airports,results_airports_Kahilipara_Guwahati.json,,,,,,,,
Assam State Transport Corporation,,,,"5QJ2+G2 Guwahati, Assam",photon.komoot.io,26.18077005,91.75634555,4,Paltan Bazaar,guwahati,airports,results_airports_Paltan_Bazaar_Guwahati.json,,,,,,,,
ASTC Paltan Bazar,,,,"5PJX+9X Guwahati, Assam",photon.komoot.io,26.1808421,91.7495654,5,Paltan Bazaar,guwahati,airports,results_airports_Paltan_Bazaar_Guwahati.json,,,,,,,,
,,1800 345 3986,,"6P4R+5M Guwahati, Assam",photon.komoot.io,26.19247875,91.69463568731132,3,Pan Bazaar,guwahati,airports,results_airports_Pan_Bazaar_Guwahati.json,,,,,,,,
Jorhat Airport,,094354 78990,aai.aero,"P5MM+VV Jorhat, Assam",,26.7274088,94.1860779,8,Raha,nagaon,airports,results_airports_Raha_Nagaon.json,,,,,,,"Airport Road, Rowriah/ jail Road Area, Rowriya, Jorhat West, Jorhat, Assam, 785004, India",221743473.0
"Hellipad H2, veterinary Khanapara Playground",,,,4R98+JXP,photon.komoot.io,26.11700765,91.81546080878026,8,Six Mile,guwahati,airports,results_airports_Six_Mile_Guwahati.json,,,,,,,,
ASTC Bus Stand,,060002 39482,,"5QJ2+F2 Guwahati, Assam",photon.komoot.io,26.1811683,91.7499743,6,Uzan Bazaar,guwahati,airports,results_airports_Uzan_Bazaar_Guwahati.json,,,,,,,,
Baniland Ecological Amusement Park,,,,"R8GV+MQ Chandpur, Assam",photon.komoot.io,24.9932153,92.5063419,6,parks Ambicapatty,silchar,amusement,results_amusement_parks_Ambicapatty_Silchar.json,,,,,,,,
FROZEN PLANET,,070026 17606,,"4P6P+GR Guwahati, Assam",photon.komoot.io,26.1805978,91.753943,5,parks Beltola,guwahati,amusement,results_amusement_parks_Beltola_Guwahati.json,,,,,,,,
Shishu Udyan,,,,4QFV+Q83,photon.komoot.io,26.1243284,91.796421,6,parks Beltola,guwahati,amusement,results_amusement_parks_Beltola_Guwahati.json,,,,,,,,
"Batadrava Than, Nagaon",,076368 06224,bordowathan.org,"CG7R+H8 Bordua, Assam",photon.komoot.io,27.392937,95.3241361,6,parks Bordowa,nagaon,amusement,results_amusement_parks_Bordowa_Nagaon.json,,,,,,,,
