city,location_type,count
dibrugarh,airports,1
dibrugarh,aquarium,1
dibrugarh,art,3
dibrugarh,atm,2
dibrugarh,bakeries,2
dibrugarh,banks,3
dibrugarh,bars,1
dibrugarh,bookstores,5
dibrugarh,bridges,1
dibrugarh,bus,1
dibrugarh,business,2
dibrugarh,car,2
dibrugarh,churches,1
dibrugarh,cinemas,4
dibrugarh,clinics,6
dibrugarh,colleges,1
dibrugarh,community,1
dibrugarh,convention,2
dibrugarh,cultural,2
dibrugarh,driving,1
dibrugarh,exhibition,1
dibrugarh,fitness,1
dibrugarh,fuel,4
dibrugarh,gardens,1
dibrugarh,government,2
dibrugarh,grocery,4
dibrugarh,guest,2
dibrugarh,gyms,2
dibrugarh,hospitals,2
dibrugarh,hotels,6
dibrugarh,juice,3
dibrugarh,lodges,7
dibrugarh,markets,4
dibrugarh,medical,4
dibrugarh,mosques,2
dibrugarh,movie,4
dibrugarh,municipal,2
dibrugarh,museums,1
dibrugarh,nature,2
dibrugarh,nightclubs,1
dibrugarh,parks,1
dibrugarh,petrol,4
dibrugarh,pharmacies,3
dibrugarh,post,1
dibrugarh,repair,2
dibrugarh,restaurants,2
dibrugarh,schools,3
dibrugarh,shopping,4
dibrugarh,sports,2
dibrugarh,stadiums,2
dibrugarh,supermarkets,3
dibrugarh,swimming,2
dibrugarh,taxi,2
dibrugarh,temples,1
dibrugarh,tourist,1
dibrugarh,train,2
dibrugarh,universities,2
dibrugarh,vehicale,3
dibrugarh,weighbridges,1
dibrugarh,wildlife,2
dibrugarh,yoga,1
dibrugarh,zoo,4
guwahati,airports,8
guwahati,amusement,7
guwahati,aquarium,3
guwahati,art,10
guwahati,atm,8
guwahati,bakeries,7
guwahati,banks,5
guwahati,bars,5
guwahati,bookstores,7
guwahati,bridges,4
guwahati,bus,21
guwahati,business,13
guwahati,cafes,4
guwahati,car,9
guwahati,churches,4
guwahati,cinemas,4
guwahati,clinics,5
guwahati,club,2
guwahati,colleges,5
guwahati,community,3
guwahati,convention,4
guwahati,court,7
guwahati,cultural,12
guwahati,dhaba,1
guwahati,driving,7
guwahati,enterprise,2
guwahati,exhibition,6
guwahati,fast,2
guwahati,ferries,14
guwahati,fire,1
guwahati,fitness,2
guwahati,fuel,6
guwahati,gardens,8
guwahati,government,5
guwahati,grocery,4
guwahati,guest,3
guwahati,gurudwaras,8
guwahati,gyms,2
guwahati,historical,9
guwahati,homestay,26
guwahati,hospitals,4
guwahati,hotels,1
guwahati,ice,2
guwahati,industrial,5
guwahati,it,14
guwahati,juice,5
guwahati,lodges,1
guwahati,markets,5
guwahati,medical,17
guwahati,meditation,2
guwahati,mosques,2
guwahati,movie,5
guwahati,municipal,4
guwahati,museums,5
guwahati,nature,7
guwahati,nightclubs,5
guwahati,office,2
guwahati,overbridges,1
guwahati,parks,11
guwahati,petrol,10
guwahati,pharmacies,8
guwahati,playgrounds,5
guwahati,police,5
guwahati,public,2
guwahati,railway,13
guwahati,repair,9
guwahati,restaurant,1
guwahati,restaurants,5
guwahati,salons,3
guwahati,schools,6
guwahati,shopping,7
guwahati,spas,4
guwahati,sports,4
guwahati,stadiums,6
guwahati,supermarkets,2
guwahati,swimming,5
guwahati,taxi,6
guwahati,temples,5
guwahati,tourist,12
guwahati,traffic,15
guwahati,train,13
guwahati,universities,8
guwahati,vehicale,18
guwahati,veterinary,4
guwahati,water,2
guwahati,weighbridges,3
guwahati,wildlife,5
guwahati,yoga,4
guwahati,zoo,6
nagaon,airports,25
nagaon,amusement,7
nagaon,aquarium,17
nagaon,art,5
nagaon,atm,18
nagaon,bakeries,12
nagaon,banks,24
nagaon,bars,10
nagaon,bookstores,28
nagaon,bridges,1
nagaon,bus,25
nagaon,business,7
nagaon,cafes,16
nagaon,car,36
nagaon,churches,6
nagaon,cinemas,13
nagaon,clinics,24
nagaon,club,18
nagaon,colleges,6
nagaon,community,12
nagaon,cultural,16
nagaon,driving,20
nagaon,exhibition,3
nagaon,ferries,46
nagaon,fitness,13
nagaon,fuel,5
nagaon,gardens,1
nagaon,government,9
nagaon,grocery,12
nagaon,guest,12
nagaon,gyms,14
nagaon,historical,10
nagaon,hospitals,23
nagaon,hotels,21
nagaon,ice,9
nagaon,industrial,12
nagaon,it,1
nagaon,juice,17
nagaon,libraries,9
nagaon,lodges,15
nagaon,markets,7
nagaon,medical,36
nagaon,meditation,4
nagaon,mosques,1
nagaon,movie,12
nagaon,municipal,15
nagaon,museums,6
nagaon,nature,2
nagaon,nightclubs,7
nagaon,overbridges,5
nagaon,parks,1
nagaon,petrol,8
nagaon,pharmacies,28
nagaon,playgrounds,2
nagaon,police,4
nagaon,post,14
nagaon,public,9
nagaon,railway,15
nagaon,repair,29
nagaon,restaurants,13
nagaon,salons,23
nagaon,schools,18
nagaon,shopping,11
nagaon,spas,25
nagaon,sports,13
nagaon,stadiums,17
nagaon,supermarkets,17
nagaon,swimming,6
nagaon,taxi,21
nagaon,temples,6
nagaon,tourist,10
nagaon,train,8
nagaon,universities,6
nagaon,vehicale,33
nagaon,veterinary,6
nagaon,weighbridges,8
nagaon,wildlife,2
nagaon,yoga,6
nagaon,zoo,15
silchar,airports,16
silchar,amusement,11
silchar,aquarium,2
silchar,art,4
silchar,atm,21
silchar,bakeries,5
silchar,banks,11
silchar,bars,12
silchar,bookstores,15
silchar,bridges,22
silchar,bus,46
silchar,business,7
silchar,cafes,3
silchar,car,13
silchar,churches,14
silchar,cinemas,1
silchar,clinics,15
silchar,club,35
silchar,colleges,16
silchar,community,13
silchar,convention,11
silchar,court,26
silchar,cultural,14
silchar,driving,12
silchar,exhibition,13
silchar,ferries,3
silchar,fire,5
silchar,fitness,17
silchar,fuel,1
silchar,gardens,10
silchar,government,13
silchar,grocery,11
silchar,guest,8
silchar,gurudwaras,2
silchar,gyms,13
silchar,historical,12
silchar,hospitals,15
silchar,hotels,14
silchar,ice,23
silchar,industrial,9
silchar,it,10
silchar,juice,20
silchar,libraries,32
silchar,lodges,4
silchar,markets,9
silchar,medical,21
silchar,mosques,5
silchar,municipal,17
silchar,museums,4
silchar,nature,6
silchar,nightclubs,24
silchar,overbridges,13
silchar,parks,14
silchar,petrol,1
silchar,pharmacies,19
silchar,playgrounds,7
silchar,police,8
silchar,post,10
silchar,public,42
silchar,railway,34
silchar,repair,15
silchar,restaurants,10
silchar,salons,14
silchar,schools,5
silchar,shopping,11
silchar,spas,18
silchar,sports,27
silchar,stadiums,24
silchar,supermarkets,9
silchar,swimming,14
silchar,taxi,29
silchar,temples,7
silchar,tourist,13
silchar,traffic,8
silchar,train,36
silchar,universities,28
silchar,vehicale,13
silchar,water,7
silchar,weighbridges,12
silchar,wildlife,2
silchar,yoga,5
silchar,zoo,18
